team_name,common_name,team_season,country,matches_played_counts,wins_counts,draws_counts,losses_counts,points_per_game,performance_rank_overall,goals_scored_counts,total_goals_counts
Arsenal FC,Arsenal,2018/2019,England,38,21,7,10,1.84,5,73,124
Tottenham Hotspur FC,Tottenham Hotspur,2018/2019,England,38,23,2,13,1.87,4,67,106
Manchester City FC,Manchester City,2018/2019,England,38,32,2,4,2.58,1,95,118
Leicester City FC,Leicester City,2018/2019,England,38,15,7,16,1.37,9,51,99
Crystal Palace FC,Crystal Palace,2018/2019,England,38,14,7,17,1.29,12,51,104
Everton FC,Everton,2018/2019,England,38,15,9,14,1.42,8,54,100
Burnley FC,Burnley,2018/2019,England,38,11,7,20,1.05,15,45,113
Southampton FC,Southampton,2018/2019,England,38,9,12,17,1.03,16,45,110
AFC Bournemouth,AFC Bournemouth,2018/2019,England,38,13,6,19,1.18,14,56,126
Manchester United FC,Manchester United,2018/2019,England,38,19,9,10,1.74,6,65,119
Liverpool FC,Liverpool,2018/2019,England,38,30,7,1,2.55,2,89,111
Chelsea FC,Chelsea,2018/2019,England,38,21,9,8,1.89,3,63,102
West Ham United FC,West Ham United,2018/2019,England,38,15,7,16,1.37,10,52,107
Watford FC,Watford,2018/2019,England,38,14,8,16,1.32,11,52,111
Newcastle United FC,Newcastle United,2018/2019,England,38,12,9,17,1.18,13,42,90
Cardiff City FC,Cardiff City,2018/2019,Wales,38,10,4,24,0.89,18,34,103
Fulham FC,Fulham,2018/2019,England,38,7,5,26,0.68,19,34,115
Brighton & Hove Albion FC,Brighton & Hove Albion,2018/2019,England,38,9,9,20,0.95,17,35,95
Huddersfield Town FC,Huddersfield Town,2018/2019,England,38,3,7,28,0.42,20,22,98
Wolverhampton Wanderers FC,Wolverhampton Wanderers,2018/2019,England,38,16,9,13,1.5,7,47,93
